timestamp_sec,rpm,cht_c,egt_c,oil_press_bar,oil_temp_c,fuel_flow_lh,vib_mms,altitude_ft,ambient_temp_c,engine_load_pct,health_score,fault_state
0,2350,170.2,642.5,4.21,91.8,18.4,2.05,10000,18.2,71.5,95.0,NORMAL
10,2352,170.8,643.2,4.20,92.0,18.5,2.08,10200,18.0,72.0,94.8,NORMAL
20,2348,171.1,644.0,4.19,92.2,18.3,2.10,10450,17.8,72.2,94.6,NORMAL
30,2355,171.5,644.8,4.18,92.5,18.6,2.09,10700,17.5,72.8,94.5,NORMAL
40,2380,184.2,688.5,4.02,96.8,19.8,2.45,11000,17.2,78.5,88.2,WATCH_THERMAL
50,2410,195.4,725.1,3.85,102.4,21.2,2.88,11000,17.2,82.4,78.5,WARNING_OVERHEAT
60,2435,208.7,756.2,3.62,108.9,22.5,3.32,11000,17.1,86.0,62.0,CRITICAL_OVERHEAT
70,2350,172.4,646.0,2.85,94.2,18.4,2.35,10500,17.6,72.0,82.0,WATCH_LUBRICATION
80,2345,174.1,650.5,2.10,98.5,18.5,2.75,10500,17.6,72.0,69.5,WARNING_LOW_OIL
90,2335,176.8,658.2,1.65,104.2,18.6,3.40,10500,17.5,72.5,48.0,CRITICAL_LOW_OIL
100,2352,171.0,645.2,4.18,92.4,18.4,4.25,10000,18.0,72.0,81.5,WATCH_VIBRATION
110,2348,172.5,648.0,4.14,94.0,18.5,6.80,10000,18.0,72.5,63.0,WARNING_HIGH_VIB
120,2340,175.2,653.4,4.08,97.2,18.7,9.45,10000,17.9,73.0,38.5,CRITICAL_BEARING
130,2280,154.2,568.0,4.15,89.5,14.2,5.20,9500,18.5,64.0,68.0,CYLINDER_MISFIRE
140,2350,169.5,712.0,4.20,92.0,23.5,2.30,10000,18.0,76.0,74.0,INJECTOR_FAULT
150,2350,248.0,642.0,4.20,91.8,2.05,10000,18.2,71.5,84.0,SENSOR_DRIFT_CHT
