sample_id,speed_rpm,vib_x_rms,vib_y_rms,vib_z_rms,crest_factor,kurtosis,oil_temp_c,bearing_health_percent,condition
1,2350,1.42,1.55,1.82,2.95,3.02,90.5,98.2,HEALTHY
2,2350,1.45,1.58,1.85,2.98,3.05,91.0,97.5,HEALTHY
3,2355,1.48,1.60,1.88,3.01,3.08,91.5,96.8,HEALTHY
4,2348,1.50,1.62,1.90,3.04,3.12,92.0,95.9,HEALTHY
5,2352,1.75,1.90,2.30,3.45,3.65,94.2,88.4,INNER_RACE_WEAR
6,2350,2.10,2.35,2.85,3.90,4.20,96.8,80.1,INNER_RACE_WEAR
7,2345,2.65,2.95,3.60,4.45,4.95,99.5,71.3,OUTER_RACE_WEAR
8,2340,3.40,3.80,4.75,5.20,5.85,103.2,59.5,BALL_DEFECT
9,2335,4.25,4.80,6.10,6.15,7.10,108.5,42.0,SEVERE_LOOSENESS
10,2330,5.80,6.45,8.25,7.40,8.90,114.0,22.5,CATASTROPHIC_DEGRADATION
