sample_id,rpm,cyl_head_temp_c,exhaust_gas_temp_c,oil_pressure_bar,fuel_injection_mg,torsional_vibration_mms,intake_manifold_bar,fault_label
1,2348,168.4,642.1,4.25,18.2,2.05,1.02,NORMAL
2,2352,170.1,645.0,4.22,18.4,2.10,1.01,NORMAL
3,2350,169.8,643.8,4.20,18.3,2.08,1.02,NORMAL
4,2360,171.5,649.2,4.18,18.5,2.15,1.03,NORMAL
5,2340,167.9,641.0,4.27,18.1,2.02,1.01,NORMAL
6,2410,189.4,712.5,3.95,20.4,2.85,0.98,OVERHEATING
7,2425,196.2,728.0,3.82,20.8,3.10,0.95,OVERHEATING
8,2430,202.8,745.3,3.71,21.2,3.35,0.92,OVERHEATING
9,2405,208.5,758.9,3.64,21.5,3.60,0.90,OVERHEATING
10,2310,158.2,580.4,4.15,14.2,4.82,1.02,MISFIRE
11,2295,152.0,565.1,4.12,13.8,5.10,1.01,MISFIRE
12,2305,155.6,572.8,4.14,14.0,4.95,1.02,MISFIRE
13,2345,172.0,650.1,2.45,18.3,2.40,1.02,LOW_OIL_PRESSURE
14,2350,174.5,655.4,2.10,18.4,2.65,1.01,LOW_OIL_PRESSURE
15,2340,178.2,662.0,1.75,18.5,2.90,1.01,LOW_OIL_PRESSURE
16,2365,173.1,647.5,4.19,18.2,6.45,1.02,BEARING_FAULT
17,2370,175.8,651.0,4.15,18.3,7.20,1.02,BEARING_FAULT
18,2360,178.4,656.2,4.10,18.4,8.10,1.01,BEARING_FAULT
19,2355,169.2,698.4,4.21,22.1,2.30,1.02,INJECTOR_FAULT
20,2348,168.9,705.2,4.20,22.4,2.35,1.02,INJECTOR_FAULT
