unit_number,time_in_cycles,altitude_ft,mach_number,throttle_resolver_angle,total_temp_fan_inlet,lpc_outlet_temp_k,hpc_outlet_temp_k,lpt_outlet_temp_k,bypass_ratio,hpc_outlet_pressure_psia,fuel_flow_ratio,rul_cycles
1,1,10000,0.25,72.0,518.67,642.35,1589.70,1404.62,8.41,553.75,23.41,192
1,50,10000,0.25,72.0,518.67,642.60,1591.20,1406.10,8.42,553.20,23.44,142
1,100,10000,0.25,72.0,518.67,643.15,1594.85,1409.80,8.45,552.10,23.52,92
1,140,10000,0.25,72.0,518.67,644.20,1602.40,1416.50,8.51,549.80,23.70,52
1,170,10000,0.25,72.0,518.67,645.80,1611.10,1424.30,8.60,546.50,23.95,22
1,185,10000,0.25,72.0,518.67,647.50,1620.50,1433.90,8.72,542.10,24.30,7
1,192,10000,0.25,72.0,518.67,649.90,1632.80,1445.60,8.88,537.40,24.85,0
2,1,12000,0.28,75.0,518.67,642.10,1588.50,1403.90,8.40,554.10,23.38,287
2,100,12000,0.28,75.0,518.67,642.90,1593.40,1408.20,8.44,552.80,23.49,187
2,200,12000,0.28,75.0,518.67,644.80,1605.90,1419.40,8.55,548.20,23.82,87
2,287,12000,0.28,75.0,518.67,650.30,1635.10,1448.20,8.91,536.00,24.95,0
