time_sec,rpm,cht,egt,oil_press,oil_temp,fuel_flow,vibration,altitude,ambient_temp,engine_load,health,state
0,2350,168.2,638.5,4.24,89.5,18.1,2.02,8500,20.5,70.2,96,NORMAL
10,2355,169.0,640.2,4.22,90.1,18.2,2.04,9000,19.8,71.0,96,NORMAL
20,2352,169.8,641.9,4.21,90.8,18.3,2.06,9500,19.0,71.5,95,NORMAL
30,2348,170.5,643.5,4.20,91.4,18.4,2.07,10000,18.2,71.8,95,NORMAL
40,2350,171.0,644.8,4.19,91.9,18.4,2.09,10200,18.0,72.0,94,NORMAL
50,2354,171.2,645.4,4.19,92.2,18.5,2.10,10500,17.5,72.2,94,NORMAL
60,2349,171.5,646.0,4.18,92.5,18.5,2.11,10500,17.5,72.1,94,NORMAL
70,2351,171.4,645.8,4.18,92.4,18.4,2.10,10500,17.5,72.0,94,NORMAL
80,2350,171.3,645.5,4.18,92.3,18.4,2.09,10500,17.5,72.0,94,NORMAL
90,2352,171.5,645.9,4.18,92.4,18.5,2.10,10500,17.5,72.1,94,NORMAL
100,2348,171.2,645.2,4.19,92.2,18.4,2.08,10400,17.6,71.9,94,NORMAL
110,2350,170.9,644.5,4.19,92.0,18.3,2.07,10200,18.0,71.6,95,NORMAL
120,2345,170.2,643.0,4.20,91.6,18.2,2.05,10000,18.2,71.2,95,NORMAL
