time_sec,rpm,cht,egt,oil_press,oil_temp,fuel_flow,vibration,altitude,ambient_temp,engine_load,health,state
0,2350,170.0,642.0,4.20,91.5,18.4,2.05,10000,18.0,72.0,94,NORMAL
10,2420,174.5,665.0,4.15,93.8,20.2,2.25,12000,12.5,79.0,93,NORMAL
20,2480,178.2,682.0,4.10,95.4,21.8,2.38,14000,6.0,84.5,91,WATCH
30,2520,182.0,705.5,4.05,97.0,23.1,2.50,16000,-1.0,88.0,89,WATCH
40,2550,186.4,728.0,4.01,99.2,24.2,2.62,18000,-7.5,92.0,86,WATCH
50,2550,187.8,731.2,4.00,99.8,24.3,2.65,18000,-7.5,92.0,85,WATCH
60,2550,188.5,733.0,3.99,100.2,24.4,2.68,18000,-7.5,92.2,85,WATCH
70,2500,184.2,710.0,4.03,98.0,22.8,2.52,16500,-2.0,86.0,88,WATCH
80,2420,177.5,675.0,4.12,95.0,20.5,2.30,14000,5.5,80.0,91,NORMAL
90,2360,172.0,648.0,4.18,92.5,18.6,2.12,11000,15.0,73.5,93,NORMAL
